QCBATCH,EXSAMPID,SAMPDATE,SAMPTIME,SITEID,STUDYID,STATIONID,SAMPLEID,LABREP,UDEPTH,LDEPTH,CHEMNAME,CONC,QUALCODE,UNITS,DVLEVEL,DL,RL,MEASBASIS,METHOD,LABNAME,LATITUDE,LONGITUDE,CHEMCODE
2010143,B29K-WA01,20100519,07:12,0600,B3,B29,W001,1L,1298.80,1298.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29L-WA01,20100519,07:06,0600,B3,B29,W002,1L,1327.00,1327.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29J-WA01,20100519,07:15,0600,B3,B29,W003,1L,1098.80,1098.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29I-WA01,20100519,07:17,0600,B3,B29,W004,1L,999.00,999.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29H-WA01,20100519,07:22,0600,B3,B29,W005,1L,799.00,799.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29F-WA01,20100519,07:29,0600,B3,B29,W006,1L,499.00,499.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29E-WA01,20100519,07:36,0600,B3,B29,W007,1L,198.80,198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29D-WA01,20100519,07:39,0600,B3,B29,W008,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29C-WA01,20100519,07:40,0600,B3,B29,W009,1L,49.00,49.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29B-WA01,20100519,07:41,0600,B3,B29,W010,1L,2.00,2.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B29G-WA01,20100519,07:25,0600,B3,B29,W011,1L,648.80,648.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68692667,-88.42367500,PET_HC
2010143,B30D-WA01,20100519,10:33,0600,B3,B30,W001,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30L-WA01,20100519,10:00,0600,B3,B30,W002,1L,1328.00,1328.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30K-WA01,20100519,10:03,0600,B3,B30,W003,1L,1312.00,1312.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30J-WA01,20100519,10:06,0600,B3,B30,W004,1L,1211.00,1211.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30I-WA01,20100519,10:11,0600,B3,B30,W005,1L,998.80,998.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30H-WA01,20100519,10:16,0600,B3,B30,W006,1L,799.00,799.00,Petroleum hydrocarbons,1.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30G-WA01,20100519,10:19,0600,B3,B30,W007,1L,648.80,648.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30A-WA01,20100519,-9,0600,B3,B30,W008,1L,0.50,0.50,Petroleum hydrocarbons,984.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30E-WA01,20100519,10:30,0600,B3,B30,W009,1L,198.80,198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30C-WA01,20100519,10:34,0600,B3,B30,W010,1L,49.00,49.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30B-WA01,20100519,10:35,0600,B3,B30,W011,1L,2.00,2.00,Petroleum hydrocarbons,1.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B30F-WA01,20100519,10:23,0600,B3,B30,W012,1L,499.50,499.50,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.66107667,-88.45233667,PET_HC
2010143,B31L-WA01,20100519,12:24,0600,B3,B31,W001,1L,1328.00,1328.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B31I-WA01,20100519,12:34,0600,B3,B31,W002,1L,998.80,998.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B31A-WA01,20100519,-9,0600,B3,B31,W003,1L,0.50,0.50,Petroleum hydrocarbons,2.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B31E-WA01,20100519,12:53,0600,B3,B31,W004,1L,199.20,199.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B31D-WA01,20100519,12:55,0600,B3,B31,W005,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B31K-WA01,20100519,12:26,0600,B3,B31,W006,1L,1311.80,1311.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B31J-WA01,20100519,12:29,0600,B3,B31,W007,1L,1211.00,1211.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.64412500,-88.42666667,PET_HC
2010143,B32L-WA01,20100519,14:56,0600,B3,B32,W001,1L,1338.00,1338.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68327500,-88.47214000,PET_HC
2010143,B32D-WA01,20100519,15:27,0600,B3,B32,W002,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68327500,-88.47214000,PET_HC
2010143,B32E-WA01,20100519,15:25,0600,B3,B32,W003,1L,199.20,199.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68327500,-88.47214000,PET_HC
2010143,B32I-WA01,20100519,15:06,0600,B3,B32,W004,1L,999.20,999.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68327500,-88.47214000,PET_HC
2010143,B32J-WA01,20100519,15:01,0600,B3,B32,W005,1L,1211.20,1211.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68327500,-88.47214000,PET_HC
2010143,B32K-WA01,20100519,14:58,0600,B3,B32,W006,1L,1312.20,1312.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.68327500,-88.47214000,PET_HC
2010143,B33K-WA01,20100519,17:31,0600,B3,B33,W001,1L,1312.20,1312.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.70927833,-88.48474167,PET_HC
2010143,B33J-WA01,20100519,17:33,0600,B3,B33,W002,1L,1262.40,1262.40,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.70927833,-88.48474167,PET_HC
2010143,B33I-WA01,20100519,17:34,0600,B3,B33,W003,1L,1210.80,1210.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.70927833,-88.48474167,PET_HC
2010143,B33D-WA01,20100519,18:01,0600,B3,B33,W004,1L,99.20,99.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.70927833,-88.48474167,PET_HC
2010143,B33L-WA01,20100519,17:27,0600,B3,B33,W005,1L,1338.00,1338.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.70927833,-88.48474167,PET_HC
2010143,B33E-WA01,20100519,17:56,0600,B3,B33,W006,1L,298.80,298.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.70927833,-88.48474167,PET_HC
2010143,B34K-WA01,20100520,07:59,0600,B3,B34,W001,1L,1398.80,1398.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.71597000,-88.39446833,PET_HC
2010143,B34L-WA01,20100520,07:54,0600,B3,B34,W002,1L,1503.00,1503.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.71597000,-88.39446833,PET_HC
2010143,B34J-WA01,20100520,08:01,0600,B3,B34,W003,1L,1299.00,1299.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.71597000,-88.39446833,PET_HC
2010143,B34I-WA01,20100520,08:04,0600,B3,B34,W004,1L,1198.80,1198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.71597000,-88.39446833,PET_HC
2010143,B34D-WA01,20100520,08:30,0600,B3,B34,W005,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.71597000,-88.39446833,PET_HC
2010143,B34E-WA01,20100520,08:27,0600,B3,B34,W006,1L,198.80,198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.71597000,-88.39446833,PET_HC
2010143,B35D-WA01,20100520,11:24,0600,B3,B35,W001,1L,99.00,99.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72884500,-88.38030833,PET_HC
2010143,B35E-WA01,20100520,11:22,0600,B3,B35,W002,1L,199.20,199.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72884500,-88.38030833,PET_HC
2010143,B35I-WA01,20100520,10:58,0600,B3,B35,W003,1L,1199.00,1199.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72884500,-88.38030833,PET_HC
2010143,B35J-WA01,20100520,10:56,0600,B3,B35,W004,1L,1299.20,1299.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72884500,-88.38030833,PET_HC
2010143,B35K-WA01,20100520,10:53,0600,B3,B35,W005,1L,1398.80,1398.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72884500,-88.38030833,PET_HC
2010143,B35L-WA01,20100520,10:49,0600,B3,B35,W006,1L,1504.00,1504.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72884500,-88.38030833,PET_HC
2010143,B36L-WA01,20100520,13:22,0600,B3,B36,W001,1L,1503.00,1503.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202500,-88.37675667,PET_HC
2010143,B36E-WA01,20100520,13:54,0600,B3,B36,W002,1L,198.80,198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202500,-88.37675667,PET_HC
2010143,B36K-WA01,20100520,13:27,0600,B3,B36,W003,1L,1399.00,1399.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202500,-88.37675667,PET_HC
2010143,B36D-WA01,20100520,13:57,0600,B3,B36,W004,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202500,-88.37675667,PET_HC
2010143,B36I-WA01,20100520,13:31,0600,B3,B36,W005,1L,1198.80,1198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202500,-88.37675667,PET_HC
2010143,B36J-WA01,20100520,13:29,0600,B3,B36,W006,1L,1298.80,1298.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202500,-88.37675667,PET_HC
2010143,B37D-WA01,20100520,16:29,0600,B3,B37,W001,1L,99.20,99.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72957167,-88.36636333,PET_HC
2010143,B37E-WA01,20100520,16:27,0600,B3,B37,W002,1L,199.00,199.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72957167,-88.36636333,PET_HC
2010143,B37I-WA01,20100520,16:02,0600,B3,B37,W003,1L,1198.40,1198.40,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72957167,-88.36636333,PET_HC
2010143,B37J-WA01,20100520,16:00,0600,B3,B37,W004,1L,1299.20,1299.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72957167,-88.36636333,PET_HC
2010143,B37K-WA01,20100520,15:57,0600,B3,B37,W005,1L,1398.80,1398.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72957167,-88.36636333,PET_HC
2010143,B37L-WA01,20100520,15:52,0600,B3,B37,W006,1L,1529.00,1529.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.72957167,-88.36636333,PET_HC
2010143,B38E-WA01,20100521,08:33,0600,B3,B38,W001,1L,199.20,199.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202833,-88.37672667,PET_HC
2010143,B38L-WA01,20100521,07:59,0600,B3,B38,W002,1L,1553.60,1553.60,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202833,-88.37672667,PET_HC
2010143,B38K-WA01,20100521,08:05,0600,B3,B38,W003,1L,1398.80,1398.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202833,-88.37672667,PET_HC
2010143,B38I-WA01,20100521,08:10,0600,B3,B38,W004,1L,1198.80,1198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202833,-88.37672667,PET_HC
2010143,B38D-WA01,20100521,08:35,0600,B3,B38,W005,1L,99.00,99.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202833,-88.37672667,PET_HC
2010143,B38J-WA01,20100521,08:08,0600,B3,B38,W006,1L,1299.40,1299.40,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202833,-88.37672667,PET_HC
2010143,B39D-WA01,20100521,11:44,0600,B3,B39,W001,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73870333,-88.35112833,PET_HC
2010143,B39E-WA01,20100521,11:42,0600,B3,B39,W002,1L,198.80,198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73870333,-88.35112833,PET_HC
2010143,B39I-WA01,20100521,11:18,0600,B3,B39,W003,1L,1199.20,1199.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73870333,-88.35112833,PET_HC
2010143,B39J-WA01,20100521,11:16,0600,B3,B39,W004,1L,1298.80,1298.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73870333,-88.35112833,PET_HC
2010143,B39K-WA01,20100521,11:14,0600,B3,B39,W005,1L,1399.20,1399.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73870333,-88.35112833,PET_HC
2010143,B39L-WA01,20100521,11:08,0600,B3,B39,W006,1L,1553.00,1553.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73870333,-88.35112833,PET_HC
2010143,B40K-WA01,20100521,13:48,0600,B3,B40,W001,1L,1399.60,1399.60,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.75202000,-88.36677667,PET_HC
2010143,B40E-WA01,20100521,14:17,0600,B3,B40,W002,1L,199.20,199.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.75202000,-88.36677667,PET_HC
2010143,B40L-WA01,20100521,13:44,0600,B3,B40,W003,1L,1462.40,1462.40,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.75202000,-88.36677667,PET_HC
2010143,B40D-WA01,20100521,14:20,0600,B3,B40,W004,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.75202000,-88.36677667,PET_HC
2010143,B40I-WA01,20100521,13:53,0600,B3,B40,W005,1L,1198.20,1198.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.75202000,-88.36677667,PET_HC
2010143,B40J-WA01,20100521,13:50,0600,B3,B40,W006,1L,1299.60,1299.60,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.75202000,-88.36677667,PET_HC
2010143,B41L-WA01,20100521,16:25,0600,B3,B41,W001,1L,1503.80,1503.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73834333,-88.38697000,PET_HC
2010143,B41D-WA01,20100521,17:00,0600,B3,B41,W002,1L,98.80,98.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73834333,-88.38697000,PET_HC
2010143,B41E-WA01,20100521,16:58,0600,B3,B41,W003,1L,198.80,198.80,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73834333,-88.38697000,PET_HC
2010143,B41I-WA01,20100521,16:34,0600,B3,B41,W004,1L,1199.00,1199.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73834333,-88.38697000,PET_HC
2010143,B41J-WA01,20100521,16:32,0600,B3,B41,W005,1L,1299.00,1299.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73834333,-88.38697000,PET_HC
2010143,B41K-WA01,20100521,16:29,0600,B3,B41,W006,1L,1399.20,1399.20,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73834333,-88.38697000,PET_HC
