QCBATCH,EXSAMPID,SAMPDATE,SAMPTIME,SITEID,STUDYID,STATIONID,SAMPLEID,LABREP,UDEPTH,LDEPTH,CHEMNAME,CONC,QUALCODE,UNITS,DVLEVEL,DL,RL,MEASBASIS,METHOD,LABNAME,LATITUDE,LONGITUDE,CHEMCODE
2010138,B19B-WA01,20100515,-9,0600,B2,B19,W001,1L,2.00,2.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.42141167,-89.23995333,PET_HC
2010138,B19C-WA01,20100515,-9,0600,B2,B19,W002,1L,50.00,50.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.42141167,-89.23995333,PET_HC
2010138,B19D-WA01,20100515,-9,0600,B2,B19,W003,1L,100.00,100.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.42141167,-89.23995333,PET_HC
2010138,B20D-WA01,20100515,19:03,0600,B2,B20,W001,1L,100.00,100.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20L-WA01,20100515,18:26,0600,B2,B20,W002,1L,1475.00,1475.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20I-WA01,20100515,18:36,0600,B2,B20,W003,1L,1200.00,1200.00,Petroleum hydrocarbons,3.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20K-WA01,20100515,18:31,0600,B2,B20,W004,1L,1400.00,1400.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20J-WA01,20100515,18:33,0600,B2,B20,W005,1L,1300.00,1300.00,Petroleum hydrocarbons,1.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20E-WA01,20100515,19:00,0600,B2,B20,W006,1L,200.00,200.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20C-WA01,20100515,19:04,0600,B2,B20,W007,1L,50.00,50.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20B-WA01,20100515,19:06,0600,B2,B20,W008,1L,2.00,2.00,Petroleum hydrocarbons,1.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20F-WA01,20100515,18:53,0600,B2,B20,W009,1L,500.00,500.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20G-WA01,20100515,18:47,0600,B2,B20,W010,1L,750.00,750.00,Petroleum hydrocarbons,2.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B20H-WA01,20100515,18:41,0600,B2,B20,W011,1L,1000.00,1000.00,Petroleum hydrocarbons,3.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73202167,-88.37680167,PET_HC
2010138,B21I-WA01,20100516,07:57,0600,B2,B21,W001,1L,1200.00,1200.00,Petroleum hydrocarbons,1.00000000,,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73208167,-88.37671500,PET_HC
2010138,B21L-WA01,20100516,07:47,0600,B2,B21,W002,1L,1475.00,1475.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73208167,-88.37671500,PET_HC
2010138,B21J-WA01,20100516,07:55,0600,B2,B21,W003,1L,1300.00,1300.00,Petroleum hydrocarbons,1.00000000,U,mg/L,UNVAL,1.00000000,3.00000000,TO,EXDET,LSU,28.73208167,-88.37671500,PET_HC
